test_name,b_bp,r_bp,bank_id,writes_completed,reads_completed,total_completes,utilization_proxy_pct,sim_time_cyc
mem_full_test,0,0,0,341,313,654,11.37,16090
mem_full_test,0,0,1,365,314,679,11.81,16090
mem_full_test,0,0,2,362,312,674,11.72,16090
mem_full_test,0,0,3,377,327,704,12.24,16090
mem_full_test,0,0,4,345,327,672,11.69,16090
mem_full_test,0,0,5,401,317,718,12.49,16090
mem_full_test,0,0,6,330,319,649,11.29,16090
mem_full_test,0,0,7,379,321,700,12.17,16090
mem_full_test,0,0,0,438,313,751,13.06,16090
mem_full_test,0,0,1,464,314,778,13.53,16090
mem_full_test,0,0,2,440,312,752,13.08,16090
mem_full_test,0,0,3,470,327,797,13.86,16090
mem_full_test,0,0,4,434,327,761,13.23,16090
mem_full_test,0,0,5,276,317,593,10.31,16090
mem_full_test,0,0,6,222,319,541,9.41,16090
mem_full_test,0,0,7,256,321,577,10.03,16090
mem_full_test,0,0,0,353,313,666,11.58,16090
mem_full_test,0,0,1,377,314,691,12.02,16090
mem_full_test,0,0,2,374,312,686,11.93,16090
mem_full_test,0,0,3,389,327,716,12.45,16090
mem_full_test,0,0,4,358,327,685,11.91,16090
mem_full_test,0,0,5,414,317,731,12.71,16090
mem_full_test,0,0,6,343,319,662,11.51,16090
mem_full_test,0,0,7,392,321,713,12.40,16090
mem_full_test,0,0,0,353,313,666,11.58,16090
mem_full_test,0,0,1,377,314,691,12.02,16090
mem_full_test,0,0,2,374,312,686,11.93,16090
mem_full_test,0,0,3,389,327,716,12.45,16090
mem_full_test,0,0,4,358,327,685,11.91,16090
mem_full_test,0,0,5,414,317,731,12.71,16090
mem_full_test,0,0,6,343,319,662,11.51,16090
mem_full_test,0,0,7,392,321,713,12.40,16090
